taxid,parent_taxid,rank,scientific_name,common_name
161642,50725,subspecies,Thomomys umbrinus chihuahuae,
161643,50725,subspecies,Thomomys umbrinus goldmani,
161644,50725,subspecies,Thomomys umbrinus intermedius,
161645,50725,subspecies,Thomomys umbrinus pullus,
161646,50725,subspecies,Thomomys umbrinus tolucae,
161921,29083,species,Arctocephalus townsendi,Guadalupe fur seal
161927,29083,species,Arctocephalus philippii,Juan Fernandez fur seal
161928,29083,species,Arctocephalus australis,South American fur seal
161929,9702,genus,Neophoca,
161930,161929,species,Neophoca cinerea,Australian sea lion
161931,9702,genus,Otaria,
161932,161931,species,Otaria byronia,South American sea lion
162168,98660,species,Zapus princeps,western jumping mouse
162309,29130,species,Thomasomys baeops,
162310,29105,species,Calomys tener,Delicate laucha
162314,10040,species,Peromyscus nudipes,
162629,9366,genus,Echinosorex,
162630,162629,species,Echinosorex gymnura,
162953,9852,subspecies,Alces alces cameloides,
162954,9852,subspecies,Alces alces pfitzmayeri,
162955,57737,subspecies,Axis porcinus porcinus,
162956,9863,subspecies,Cervus nippon sichuanicus,Sichuan sika deer
163110,9499,species,Alouatta stramineus,
163696,119566,species,Taterillus emini,
163697,34857,species,Hylomyscus kaimosae,
163843,9850,species,Cervidae sp.,
163860,9881,genus,Pudu,
163861,163860,species,Pudu puda,
164324,10062,species,Spalax carmeli,Mt Carmel blind mole rat
164382,39087,genus,Volemys,
164384,164382,species,Volemys millicens,Sichuan vole
164385,164382,species,Volemys musseri,Marie's vole
164517,13627,species,Cratogeomys zinseri,Zinser's pocket gopher
164525,42733,subspecies,Echymipera kalubu cockerelli,
164526,42733,subspecies,Echymipera kalubu kalubu,
164527,42733,subspecies,Echymipera kalubu oriomo,
164528,65611,subspecies,Echymipera rufescens australis,
164529,65611,subspecies,Echymipera rufescens rufescens,
164530,38629,subspecies,Microperoryctes longicauda magnus,
164610,42407,species,Neotoma devia,Arizona woodrat
164611,42407,species,Neotoma stephensi,
164612,337711,genus,Tylomys,
164613,2621197,species,Tylomys sp.,
164614,337963,genus,Xenomys,
164615,164614,species,Xenomys nelsoni,
164647,9569,genus,Procolobus,
164648,591932,species,Piliocolobus badius,red colobus
164650,54136,species,Trachypithecus geei,
164651,54136,species,Trachypithecus pileatus,
164660,59463,subspecies,Myotis lucifugus carissima,
164752,29103,species,Auliscomys boliviensis,
164931,2100816,subspecies,Cervus hanglu bactrianus,Bactrian deer
165202,38603,species,Dendrolagus matschiei,Huon tree kangaroo
165203,9335,genus,Ailurops,
165204,165203,species,Ailurops ursinus,
165828,45482,subspecies,Glaucomys sabrinus griseifrons,
166054,9401,species,Pteropus lylei,
166293,9660,subspecies,Martes americana caurina,
167043,36801,species,Crocidura lasiura,
167044,36801,species,Crocidura attenuata,
167045,36801,species,Crocidura watasei,
167130,9533,species,Cercopithecus erythrotis,red-eared guenon
167131,9535,subspecies,Cercopithecus cephus ngottoensis,
167725,37176,subspecies,Ovibos moschatus wardi,
167953,10162,species,Proechimys quadruplicatus,Napo spiny rat
167954,2645178,species,Proechimys sp.,
168015,38071,species,Aotinae gen. sp.,
168239,38603,species,Dendrolagus bennettianus,
168240,38603,species,Dendrolagus lumholtzi,
168259,9539,species,Macaca maura x tonkeana,
169034,2644789,species,Octodon sp.,
169058,27671,species,Pipistrellus pygmaeus x mediterraneus,
169059,109483,subspecies,Plecotus austriacus austriacus,
169060,27673,species,Plecotus kolombatovici,
169185,29105,species,Calomys hummelincki,
169413,10053,species,Microtus guatemalensis,
169414,10053,species,Microtus oaxacensis,
169415,10053,species,Microtus quasiater,
169416,10053,species,Microtus umbrosus,
169417,9655,subfamily,Lutrinae,
169418,9655,subfamily,Mustelinae,
169756,49442,species,Rhinolophus monoceros,
169825,9784,species,Loxodonta cyclotis x africana,
170207,1203020,species,Simias concolor,Pig-tailed langur
170209,48987,species,Nyctimene cephalotes,
170210,48987,species,Nyctimene certans,
170211,48987,species,Nyctimene vizcaccia,
170213,42146,species,Dobsonia andersoni,
170214,42146,species,Dobsonia inermis,
170215,42146,species,Dobsonia minor,
170216,42146,species,Dobsonia pannietensis,
170217,42146,species,Dobsonia praedatrix,New Britain naked-backed fruit bat
170218,42146,species,Dobsonia viridis,
170220,9401,species,Pteropus anetianus,
170221,1291037,subspecies,Pteropus capistratus ennisae,
170222,9401,species,Pteropus cognatus,
170223,9401,species,Pteropus fundatus,
170224,9401,species,Pteropus neohibernicus,
170225,9401,species,Pteropus niger,
170226,9401,species,Pteropus ocularis,
170227,9401,species,Pteropus ornatus,
170228,9401,species,Pteropus personatus,
170229,9401,species,Pteropus pohlei,
170230,9401,species,Pteropus samoensis,
170231,9401,species,Pteropus vetulus,
170232,9401,species,Pteropus woodfordi,
170233,58068,species,Hipposideros cervinus,
170234,110939,species,Emballonura semicaudata,Polynesian sheath-tailed bat
170235,3136027,genus,Chironax,
170236,170235,species,Chironax melanocephalus,
170496,9860,subspecies,Cervus elaphus wallichi,
170736,33551,species,Ctenomys australis,
170737,33551,species,Ctenomys fulvus,
170738,33551,species,Ctenomys magellanicus,
170739,30645,genus,Octodontomys,
170740,170739,species,Octodontomys gliroides,
171122,9425,species,Tonatia saurophila,stripe-headed round-eared bat
171293,9539,species,Macaca hecki x tonkeana,
171945,83281,subspecies,Propithecus diadema diadema,
171947,83281,subspecies,Propithecus diadema marshi,
172270,9676,genus,Parahyaena,
172271,172270,species,Parahyaena brunnea,
172272,54085,subspecies,Petrogale lateralis hacketti,
172273,54085,subspecies,Petrogale lateralis lateralis,
172274,54085,subspecies,Petrogale lateralis pearsoni,
173902,124755,species,Rhinopoma muscatellum,Small mouse-tailed bat
173903,124755,species,Rhinopoma microphyllum,Greater mouse-tailed bat
173935,9309,species,Potorous platyops,
173936,9309,species,Potorous gilbertii,Gilbert's potoroo
173987,662561,subspecies,Rusa unicolor cambojensis,
173988,1088130,subspecies,Rusa timorensis macassaricus,Celebes rusa deer
174598,9515,subspecies,Sapajus apella apella,
174599,1532884,species,Sapajus xanthosternos,yellow-breasted capuchin
174883,9977,species,Ochotona brookei,
174884,9977,species,Ochotona rutila,
174885,9977,species,Ochotona gloveri,
175521,39087,genus,Lagurus,
175522,175521,species,Lagurus lagurus,
175523,59466,species,Nycteris macrotis,
175524,354741,species,Hipposideros larvatus,
175525,110939,species,Emballonura monticola,
175627,9324,species,Petrogale purpureicollis,purple-necked rock-wallaby
175808,38622,species,Phalanger sericeus,
175809,38622,species,Phalanger vestitus,Stein's cuscus
175810,114228,species,Spilocuscus maculatus,
175811,9336,species,Trichosurus arnhemensis,Northern Brushtail Possum
175812,9335,genus,Wyulda,
175813,175812,species,Wyulda squamicaudata,
176098,42473,subspecies,Phalanger orientalis breviceps,
176107,745257,genus,Chrysospalax,
176108,176107,species,Chrysospalax trevelyani,
176110,9369,subfamily,Oryzorictinae,
176111,9369,subfamily,Geogalinae,
176112,9369,subfamily,Potamogalinae,
176113,9369,subfamily,Tenrecinae,
176114,176110,genus,Microgale,
176116,176111,genus,Geogale,
176117,176116,species,Geogale aurita,
176118,176112,genus,Potamogale,
176119,176118,species,Potamogale velox,
176496,43323,subspecies,Trinomys setosus elegans,
176497,10161,genus,Clyomys,
176498,176497,species,Clyomys laticeps,broad-headed spiny rat
176500,10161,genus,Hoplomys,
176501,176500,species,Hoplomys gymnurus,armored rat
176502,10161,genus,Kannabateomys,
176503,176502,species,Kannabateomys amblyonyx,Atlantic bamboo rat
176504,10161,genus,Lonchothrix,
176505,176504,species,Lonchothrix emiliae,tuft-tailed spiny tree rat
176508,490305,species,Makalata macrura,Long-tailed armored tree-rat
176509,30626,species,Mesomys occultus,
176848,9373,genus,Uropsilus,
176849,2640566,species,Uropsilus sp.,
177159,27637,species,Glossophaga commissarisi,
177160,27637,species,Glossophaga leachii,Gray's long-tongued bat
177161,27637,species,Glossophaga longirostris,
177162,27637,species,Glossophaga morenoi,
177163,148046,species,Monophyllus plethodon,
177182,909366,species,Glauconycteris beatrix,Beatrix's bat
177185,59488,species,Murina cyclotis,Round-eared tube-nosed bat
178739,1088090,subspecies,Rucervus eldii eldii,
178740,1088090,subspecies,Rucervus eldii hainanus,
178895,49442,species,Rhinolophus creaghi,
178896,59466,species,Nycteris grandis,
179089,9542,subspecies,Macaca fuscata yakui,
179238,10090,subspecies,Mus musculus homourus,
181537,10145,species,Galea spixii,
181538,10139,genus,Kerodon,
181539,181538,species,Kerodon rupestris,Rock cavy
181540,10139,genus,Microcavia,
181541,181540,species,Microcavia australis,
181542,43317,species,Myoprocta acouchy,
181543,29090,species,Dolichotis salinicola,
182248,30589,subspecies,Alouatta palliata mexicana,
182249,30589,subspecies,Alouatta palliata coibensis,
182250,30589,subspecies,Alouatta palliata palliata,
182251,30589,subspecies,Alouatta palliata trabeata,
182252,30589,subspecies,Alouatta palliata aequatorialis,
182253,9499,species,Alouatta pigra,
182254,9503,subspecies,Alouatta seniculus seniculus,
182256,9499,species,Alouatta guariba,brown howler monkey
182257,30590,subspecies,Alouatta belzebul belzebul,
182668,176848,species,Uropsilus andersoni,
182669,176848,species,Uropsilus gracilis,gracile shrew mole
182670,176848,species,Uropsilus investigator,
182671,176848,species,Uropsilus soricipes,
182672,9373,genus,Scapanus,
182673,182672,species,Scapanus latimanus,
182674,182672,species,Scapanus orarius,
182675,182672,species,Scapanus townsendii,
182676,9373,genus,Neurotrichus,
182677,182676,species,Neurotrichus gibbsii,
182679,9373,genus,Dymecodon,
182680,182679,species,Dymecodon pilirostris,
182681,9373,genus,Desmana,
182682,182681,species,Desmana moschata,
183327,9508,subspecies,Ateles fusciceps robustus,
183328,182256,subspecies,Alouatta guariba clamitans,
183511,9593,subspecies,Gorilla gorilla uellensis,
183513,10158,genus,Aconaemys,
183514,183513,species,Aconaemys fuscus,
183515,10159,species,Octodon bridgesii,
183555,27671,species,Pipistrellus maderensis,
183658,9386,species,Blarina carolinensis,southern short-tailed shrew
183659,9386,species,Blarina hylophaga,Elliot's short-tailed shrew
183660,183663,genus,Cryptotis,
183661,183660,species,Cryptotis parvus,least shrew
183662,9376,subfamily,Crocidurinae,
183663,9376,subfamily,Soricinae,red-toothed shrews
183721,36801,species,Crocidura shantungensis,Asian lesser white-toothed shrew
183746,1811493,genus,Zaedyus,
183747,183746,species,Zaedyus pichiy,
183748,1811493,genus,Tolypeutes,
183749,183748,species,Tolypeutes matacus,
183750,183748,species,Tolypeutes tricinctus,
183751,1811493,genus,Priodontes,
183752,183751,species,Priodontes maximus,
184063,2635748,species,Oryzomys sp.,
184199,2620455,species,Oecomys sp. LBCE_1924,
184227,38626,subspecies,Phascolarctos cinereus victor,
184229,38626,subspecies,Phascolarctos cinereus adustus,
184257,10053,species,Microtus duodecimcostatus,
184258,10053,species,Microtus lusitanicus,
184259,10053,species,Microtus savii,
184395,39107,genus,Notomys,
184396,184395,species,Notomys alexis,Spinifex hopping mouse
184456,2620455,species,Oecomys sp. LBCE_1941,
185215,58068,species,Hipposideros turpis,Bang's leaf-nosed bat
185452,745257,genus,Chrysochloris,
185453,185452,species,Chrysochloris asiatica,Cape golden mole
185454,185452,species,Chrysochloris stuhlmanni,Stuhlmann's golden mole
185457,9452,species,Lepilemur microdon,
185458,2645584,species,Lepilemur sp. RANO236,
185590,2645584,species,Lepilemur sp. RANO234,
185591,2645584,species,Lepilemur sp. RANO235,
185596,13557,no rank,Hapalemur griseus JF2002,
185953,126593,species,Megaladapis edwardsi,
186193,862507,species,Mus fragilicauda,
186445,37316,subspecies,Erinaceus concolor nesiotes,
186471,41262,species,Tatera indica,
186472,2622129,species,Taterillus sp. PC2002,
186473,10045,genus,Rhombomys,
186474,186473,species,Rhombomys opimus,great gerbil
186476,49439,species,Gerbillurus paeba,
186477,49439,species,Gerbillurus setzeri,
186478,49439,species,Gerbillurus tytonis,
186842,862507,species,Mus musculus x Mus spretus,
186990,58068,species,Hipposideros armiger,great Himalayan leaf-nosed bat
186991,186990,subspecies,Hipposideros armiger terasensis,
186994,3136022,family,Hipposideridae,Old World leaf-nosed bats
186995,58055,subfamily,Rhinolophinae,
186998,49442,species,Rhinolophus perditus,
187001,186994,genus,Coelops,
187002,187001,species,Coelops frithii,East Asian tailless leaf-nosed bat
187003,13280,species,Taphozous melanopogon,black-bearded tomb bat
187004,110939,species,Emballonura alecto,
187005,9422,species,Phyllostomus elongatus,
187006,9437,species,Tadarida insignis,
187007,9432,species,Miniopterus fuliginosus,Eastern bent-winged bat
187008,9432,species,Miniopterus fuscus,
187009,59448,species,Barbastella leucomelas,Eastern barbastelle
187010,51299,species,Nyctalus aviator,
187011,375553,subspecies,Nyctalus plancyi velutinus,
187012,9434,species,Myotis frater,
187013,867169,species,Myotis sp. KK0005,
187014,9434,species,Myotis macrodactylus,
187015,9434,species,Myotis yanbarensis,
187016,59488,species,Murina florium,Flores tube-nosed bat
187017,59488,species,Murina leucogaster,Greater tube-nosed bat
187018,59488,species,Murina puta,Taiwanese tube-nosed bat
187019,59488,species,Murina ryukyuana,Ryukyu tube-nosed bat
187020,2685208,species,Murina sp. 7386,
187021,59488,species,Murina ussuriensis,Ussurian tube-nosed bat
187022,2677011,species,Barbastella sp. 7184,
187267,39107,genus,Pseudomys,
187268,187267,species,Pseudomys australis,plains mouse
187391,27673,species,Plecotus teneriffae,
187398,9980,species,Lepus castroviejoi,Broom Hare
187411,9757,species,Mesoplodon perrini,
187985,43319,species,Coendou prehensilis,
188140,43319,species,Coendou villosus,
188536,9612,subspecies,Canis lupus hodophilax,Japanese wolf
188567,186994,genus,Aselliscus,
188568,188567,species,Aselliscus stoliczkanus,Stoliczka's Asian trident bat
188569,58068,species,Hipposideros pratti,Pratt's roundleaf bat
188570,49442,species,Rhinolophus lepidus,
188571,49442,species,Rhinolophus pearsonii,
188572,49442,species,Rhinolophus rex,
189058,34891,species,Neophocaena asiaeorientalis,narrow-ridged finless porpoise
189653,59941,subspecies,Phyllotis xanthopygus chilensis,
189654,56231,species,Phyllotis rupestris,rock-dwelling leaf-eared mouse
189736,2643178,species,Manis sp. CP2002,
189981,2649108,species,Hemitragus sp.,
190117,9521,subspecies,Saimiri sciureus sciureus,
190446,109680,species,Otomys anchietae,
190448,109680,species,Otomys denti,
190449,109680,species,Otomys laminatus,
190450,109680,species,Otomys maximus,
190451,109680,species,Otomys occidentalis,
190452,109680,species,Otomys tropicalis,East African vlei rat
190453,109680,species,Otomys typus,
190455,109680,species,Otomys unisulcatus,
190470,43326,species,Thrichomys laurenteus,
190471,43327,subspecies,Thrichomys apereoides apereoides,
190472,43326,species,Thrichomys inermis,highland punare
190473,43326,species,Thrichomys pachyurus,Parguayan punare
190474,2639369,species,Thrichomys sp. CRB 1815,
190504,43319,species,Coendou insidiosus,
190505,43319,species,Coendou spinosus,
190506,43319,species,Coendou vestitus,
190507,138704,species,Lonchophylla handleyi,
190508,138704,species,Lonchophylla mordax,Goldman's nectar bat
190509,138704,species,Lonchophylla robusta,
190511,148085,species,Platalina genovensium,
190651,38601,species,Cercartetus concinnus,
190652,38601,species,Cercartetus lepidus,
190654,38602,subspecies,Cercartetus caudatus macrurus,
190719,38612,genus,Acrobates,
190720,190719,species,Acrobates pygmaeus,
190799,9860,subspecies,Cervus elaphus maral,
190822,2639369,species,Thrichomys sp.,
191034,9661,species,Meles anakuma,Japanese badger
191035,9662,subspecies,Meles meles meles,
191382,30636,species,Nannospalax golani,Golan Heights blind mole rat
191431,9870,subspecies,Rangifer tarandus granti,
191607,59896,subspecies,Ovis vignei arkal,Transcaspian urial
191608,30527,subspecies,Ovis ammon collium,
191609,30527,subspecies,Ovis ammon nigrimontana,
191816,13124,species,Lynx pardinus,Spanish lynx
191870,126288,species,Gracilinanus agilis,Agile Gracile Mouse Opossum
191871,91501,species,Thylamys elegans,elegant fat-tailed opossum
191872,91501,species,Thylamys macrura,long-tailed fat-tailed opossum
191873,866635,species,Thylamys pusillus,Common fat-tailed mouse opossum
192400,27659,species,Sturnira aratathomasi,
192401,27659,species,Sturnira bidens,
192402,27659,species,Sturnira bogotensis,
192403,27659,species,Sturnira erythromos,
192404,27659,species,Sturnira hondurensis,
192405,27659,species,Sturnira ludovici,
192406,27659,species,Sturnira luisi,
192407,27659,species,Sturnira magna,
192408,27659,species,Sturnira mordax,
192409,27659,species,Sturnira nana,
192410,27659,species,Sturnira oporaphilum,
192603,89248,subspecies,Equus quagga chapmani,Chapman's zebra
192642,9977,species,Ochotona muliensis,
192725,9393,genus,Urogale,
192726,192725,species,Urogale everetti,
192855,36223,subspecies,Cercopithecus ascanius ascanius,
192856,36223,subspecies,Cercopithecus ascanius katangae,
192857,36223,subspecies,Cercopithecus ascanius schmidti,
192858,36223,subspecies,Cercopithecus ascanius whitesidei,
192859,9535,subspecies,Cercopithecus cephus cephodes,
192860,9535,subspecies,Cercopithecus cephus cephus,
192861,36226,subspecies,Cercopithecus mona campbelli,
192862,100487,subspecies,Cercopithecus petaurista petaurista,
192863,102108,subspecies,Cercopithecus pogonias grayi,
192866,192406,subspecies,Sturnira luisi serotinus,
192867,192406,subspecies,Sturnira luisi thomasi,
192868,192406,subspecies,Sturnira luisi vulcanensis,
192869,192406,subspecies,Sturnira luisi zygomaticus,
192881,34835,species,Atherurus africanus,
192883,10136,species,Hystrix indica,
192893,100487,subspecies,Cercopithecus petaurista buettikoferi,
192959,34880,subspecies,Nyctereutes procyonoides procyonoides,
193455,34845,species,Dasyprocta fuliginosa,
194539,9870,subspecies,Rangifer tarandus dawsoni,
196085,29124,species,Oxymycterus amazonicus,
196087,29124,species,Oxymycterus quaestor,
196088,29124,species,Oxymycterus dasytrichus,
196296,49442,species,Rhinolophus cornutus,Little Japanese Horseshoe Bat
196297,9401,species,Pteropus rufus,Malagasy flying fox
196298,9434,species,Myotis pruinosus,Frosted Myotis
196387,1960649,species,Notamacropus irma,black glove wallaby
196388,2617658,species,Lissodelphis sp.,
196419,27673,species,Plecotus balensis,
196629,10010,genus,Pappogeomys,
196630,196629,species,Pappogeomys alcorni,Alcorn's pocket gopher
196700,27659,species,Sturnira parvidens,
196701,148031,species,Vampyressa brocki,Brock's yellow-eared bat
196889,49442,species,Rhinolophus macrotis,Big-eared Horseshoe Bat
197539,9722,family,Pontoporiidae,
197540,9722,family,Iniidae,
197773,130839,subspecies,Ochotona pallasi pricei,
197782,37174,subspecies,Ovis canadensis mexicana,
197787,37174,subspecies,Ovis canadensis weemsi,
198114,9521,subspecies,Saimiri sciureus collinsi,
198115,9499,species,Alouatta macconnelli,
198627,9524,species,Chiropotes albinasus,
198701,1965102,species,Mico cf. emiliae,
198702,1965102,species,Mico saterei,
200929,9757,species,Mesoplodon traversii,
200942,48010,species,Oecomys rutilus,red arboreal rice rat
200943,48010,species,Oecomys auyantepui,Guianan oecomys
200944,48010,species,Oecomys paricola,Brazilian arboreal rice rat
201716,9963,genus,Myotragus,
201717,201716,species,Myotragus balearicus,Balearic islands cave goat
202006,13712,species,Tamias speciosus,Lodgepole chipmunk
202256,9373,genus,Galemys,
202257,202256,species,Galemys pyrenaicus,
202263,2640566,species,Uropsilus sp. CCJD_2002,
202265,183663,genus,Blarinella,
202266,2624999,species,Blarinella sp. CCJD_2002,
202453,2646543,species,Blarina sp. 1307z,
202457,1812035,species,Plecturocebus cupreus,coppery titi
202458,9524,species,Chiropotes satanas x albinasus,
202792,48010,species,Oecomys rex,King arboreal rice rat
202793,2646543,species,Blarina sp. 1292z,
202794,2646543,species,Blarina sp. 1165z,
203484,181540,species,Microcavia niata,
203680,13615,species,Monodelphis brevicaudata,Red-legged short-tailed Opossum
203681,13615,species,Monodelphis kunsi,Pygmy short-tailed Opossum
203684,9271,species,Philander andersoni,
203695,27671,species,Pipistrellus cf. javanicus,
203696,9434,species,Myotis pilosus,Rickett's big-footed Myotis
203698,9434,species,Myotis goudotii,
203824,37887,species,Notoryctes caurinus,
204262,2892069,genus,Eira,
204263,204262,species,Eira barbara,Tayra
204264,1008258,genus,Galictis,
204265,204264,species,Galictis vittata,Greater grison
204266,1008261,genus,Melogale,
204267,204266,species,Melogale moschata,Chinese ferret-badger
204747,61153,species,Arvicanthis ansorgei,
205594,94189,species,Genetta johnstoni,
205595,94189,species,Genetta maculata,panther genet
205596,94189,species,Genetta servalina,
205597,94189,species,Genetta thierryi,
205598,9697,genus,Ichneumia,
205599,205598,species,Ichneumia albicauda,White-tailed mongoose
205648,61398,genus,Mungotictis,
205649,205648,species,Mungotictis decemlineata,
205651,219115,genus,Osbornictis,
205653,219115,genus,Poiana,
205654,205653,species,Poiana richardsonii,
205655,94193,species,Prionodon pardicolor,
205656,71120,species,Viverra megaspila,
207341,3410120,genus,Ommatophoca,
207342,207341,species,Ommatophoca rossii,Ross seal
207598,9604,subfamily,Homininae,
208089,36229,subspecies,Papio ursinus ursinus,
208090,36229,subspecies,Papio ursinus griseipes,
208091,9554,species,Papio kindae,Kinda baboon
208364,1088090,subspecies,Rucervus eldii thamin,
208510,9554,species,Papio cynocephalus x Papio anubis,
208969,40232,species,Carollia sowelli,
208971,217614,genus,Craseonycteris,
208972,208971,species,Craseonycteris thonglongyai,hog-nosed bat
209425,55155,species,Petaurista albiventer,
209426,89094,subspecies,Petaurista alborufus castaneus,
209428,55156,subspecies,Petaurista leucogenys leucogenys,
209429,55156,subspecies,Petaurista leucogenys nikkonis,
209855,34857,species,Hylomyscus parvus,
209858,30639,species,Mastomys verheyeni,
209863,10111,species,Praomys degraaffi,
209864,10111,species,Praomys hartwigi,
209866,10111,species,Praomys jacksoni,
209867,10111,species,Praomys misonnei,
209868,10111,species,Praomys petteri,
209869,10111,species,Praomys tullbergi,
209870,39107,genus,Heimyscus,
209871,209870,species,Heimyscus fumosus,
209872,39107,genus,Zelotomys,
209873,209872,species,Zelotomys hildegardeae,
210166,1812102,species,Cheracebus lugens,black titi
210641,9697,genus,Atilax,
210642,210641,species,Atilax paludinosus,marsh mongoose
210643,71110,species,Crossarchus alexandri,Alexander's cusimanse
210644,55051,species,Galerella sanguinea,slender mongoose
210645,9697,genus,Helogale,
210646,210645,species,Helogale hirtula,desert dwarf mongoose
210647,210645,species,Helogale parvula,dwarf mongoose
210649,9697,genus,Liberiictis,
210650,210649,species,Liberiictis kuhni,liberian mongoose
210651,9697,genus,Mungos,
210652,210651,species,Mungos mungo,banded mongoose
210653,9697,genus,Rhynchogale,
210654,210653,species,Rhynchogale melleri,Meller's mongoose
210726,862511,species,Mus shortridgei,Shortridge's mouse
210810,148078,species,Diclidurus scutatus,lesser ghost bat
210823,183513,species,Aconaemys porteri,
210824,183513,species,Aconaemys sagei,
211011,9718,subspecies,Pusa hispida hispida,
211471,9417,subspecies,Artibeus jamaicensis yucatanicus,
211472,9417,subspecies,Artibeus jamaicensis triomylus,
211508,9555,subspecies,Papio anubis anubis,
211636,48016,species,Scolomys melanops,south american spiny mouse
211798,48016,species,Scolomys ucayalensis,Ucayali spiny mouse
213252,2627465,species,Bison sp. BBS-2002,
213498,106349,species,Myospalax aspalax,false zokor
213499,2643178,species,Manis sp. KPK-2002.1,
213500,2643178,species,Manis sp. KPK-2002.2,
213557,56218,species,Baiomys musculus,southern pygmy mouse
213657,2642962,species,Elephantulus sp. VB001,
214440,36801,species,Crocidura denti,Dent's shrew
214441,36801,species,Crocidura douceti,Doucet's musk shrew
214442,36801,species,Crocidura flavescens,greater red musk shrew
214443,36801,species,Crocidura fuscomurina,tiny musk shrew
214444,36801,species,Crocidura hirta,lesser red musk shrew
214445,36801,species,Crocidura littoralis,Butiaba naked-tailed shrew
214446,36801,species,Crocidura lusitania,Mauritanian shrew
214447,36801,species,Crocidura maurisca,dark shrew
214448,36801,species,Crocidura nigeriae,nigerian shrew
214449,36801,species,Crocidura olivieri,African giant shrew
214450,36801,species,Crocidura poensis,Fraser's musk shrew
214451,36801,species,Crocidura turba,tumultuous shrew
214452,36801,species,Crocidura viaria,savanna path shrew
214453,2622384,species,Crocidura sp. SSQ-2002-1,
214454,2622384,species,Crocidura sp. SSQ-2202-2,
214455,36801,species,Crocidura foxi,Fox's shrew
214456,36801,species,Crocidura cf. batesi,
214457,36801,species,Crocidura cf. buettikoferi,
214458,36801,species,Crocidura cf. denti,
214459,36801,species,Crocidura cf. goliath,
214460,36801,species,Crocidura cf. ludia,
214461,36801,species,Crocidura cf. muricauda,
214462,36801,species,Crocidura cf. nigeriae,
214463,36801,species,Crocidura cf. poensis,
214464,36801,species,Crocidura batesi,Bates' shrew
214465,36801,species,Crocidura bottegi,Bottego's shrew
214466,36801,species,Crocidura buettikoferi,Buettikofer's shrew
214510,38669,subspecies,Perognathus longimembris bangsi,
214511,38669,subspecies,Perognathus longimembris brevinasus,
214512,38669,subspecies,Perognathus longimembris internationalis,
214513,38669,subspecies,Perognathus longimembris longimembris,
214514,38669,subspecies,Perognathus longimembris pacificus,Pacific pocket mouse
214933,10128,species,Apodemus latronum,Sichuan field mouse
214934,10128,species,Apodemus wardi,Ward's field mouse
215635,61398,genus,Galidictis,
215636,215635,species,Galidictis fasciata,
216181,9788,genus,Hippidion,
216182,216181,species,Hippidion saldiasi,
216613,156448,subspecies,Lepus brachyurus angustidens,
216878,156448,subspecies,Lepus brachyurus brachyurus,
217614,3136022,family,Craseonycteridae,hog-nosed bats
217708,30578,species,Hemiechinus auritus,long-eared hedgehog
217956,1965096,species,Callithrix sp. DB-2003,
218539,30543,subspecies,Conepatus leuconotus leuconotus,
218540,30543,subspecies,Conepatus leuconotus figginsi,
218778,10132,species,Calomyscus baluchi,
218784,40141,genus,Handleyomys,
218785,218784,species,Handleyomys intectus,
218786,218784,species,Handleyomys fuscatus,
218787,79919,species,Holochilus chacarius,Chaco marsh rat
218788,40141,genus,Juliomys,
218789,218788,species,Juliomys pictipes,
218790,40141,genus,Lundomys,
218791,218790,species,Lundomys molitor,
218792,40141,genus,Melanomys,
218793,218792,species,Melanomys caliginosus,dusky rice rat
218796,37026,species,Neacomys minutus,
218800,89123,species,Nesoryzomys swarthi,Santiago Galapagos mouse
218805,89123,species,Nesoryzomys narboroughi,
218817,48010,species,Oecomys concolor,unicolored arboreal rice rat
218820,48010,species,Oecomys mamorae,Mamore arboreal rice rat
218824,29120,species,Oligoryzomys flavescens,yellow pygmy rice rat
218825,29120,species,Oligoryzomys fulvescens,fulvous pygmy rice rat
218826,29120,species,Oligoryzomys stramineus,
218833,40141,genus,Pseudoryzomys,
218834,218833,species,Pseudoryzomys simplex,Brazilian false rice rat
218835,40141,genus,Rheomys,
218836,218835,species,Rheomys raptor,Goldman's water mouse
218837,40141,genus,Sigmodontomys,
218838,218837,species,Sigmodontomys alfari,Alfaro's rice water rat
218839,164612,species,Tylomys nudicaudus,Peters's climbing rat
218840,157540,species,Zygodontomys cherriei,
218841,40141,genus,Amphinectomys,
218842,218841,species,Amphinectomys savamis,Ucayali water rat
218844,48010,species,Oecomys catherinae,
219104,61398,genus,Salanoia,
219105,219104,species,Salanoia concolor,brown-tailed mongoose
219106,219108,genus,Eupleres,
219107,219106,species,Eupleres goudotii,falanouc
219108,379589,subfamily,Euplerinae,
219110,9673,subfamily,Hemigalinae,
219112,9673,subfamily,Paradoxurinae,
219115,9673,subfamily,Viverrinae,
220101,94189,species,Genetta tigrina,large-spotted genet
220337,29120,species,Oligoryzomys fornesi,
220928,36239,subspecies,Mustela nivalis heptneri,
221086,9432,species,Miniopterus minor,least long-fingered bat
221087,9432,species,Miniopterus inflatus,greater long-fingered bat
221088,9432,species,Miniopterus tristis,great bent-winged bat
221089,9432,species,Miniopterus propitristis,large Melanesian bent-wing bat
221090,2645810,species,Miniopterus sp. BBRA-2002,
221128,187267,species,Pseudomys chapmani,western pebble-mound mouse
221155,130837,subspecies,Ochotona macrotis macrotis,
221156,130833,subspecies,Ochotona huangensis xunhuaensis,
